planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity,referenced_planet,harmonic_ratio,habitable_zone_status,HZ_distance_recent_venus,HZ_distance_runaway_greenhouse,HZ_distance_maximum_greenhouse,HZ_distance_early_mars
GG Tau Ad,Candidate,3286.203561,450.0,GG Tau A,13.4,4060.0,150.0,0.083981286,,nan,Not in HZ,4.504498693929228,3.567937308458961,1.8888455977991214,1.7908707321859794
GG Tau Ae,Candidate,3286.203561,600.0,GG Tau A,13.4,4060.0,150.0,0.083981286,,nan,Not in HZ,4.504498693929228,3.567937308458961,1.8888455977991214,1.7908707321859794
GJ 620 b,Candidate,7.652,0.063,GJ 620,10.0,5688.237937,16.54,0.023392197,,nan,Not in HZ,4.179261874082144,3.308952426278928,1.8717746028415179,1.774612613526426
GJ 620 c,Candidate,27.219,0.148,GJ 620,10.0,5688.237937,16.54,0.023392197,,nan,Not in HZ,4.179261874082144,3.308952426278928,1.8717746028415179,1.774612613526426
GJ 667 Cd,Candidate,91.61,0.276,GJ 667 C,10.22,3600.0,6.84,0.003266722,,nan,Conservative HZ,3.900685954916018,3.089861319020929,1.5985637033332316,1.5156868101477978
GJ 667 Ch,Candidate,16.946,0.0893,GJ 667 C,10.22,3600.0,6.84,0.003266722,,nan,Not in HZ,3.900685954916018,3.089861319020929,1.5985637033332316,1.5156868101477978
GJ 739 b,Candidate,45.323,0.21,GJ 739,11.0,5688.237937,14.15,0.006815738,,nan,Not in HZ,4.383246832357522,3.470458582855431,1.963133765240355,1.8612294111408731
GJ 739 c,Candidate,266.489,0.687,GJ 739,11.0,5688.237937,14.15,0.006815738,,nan,Conservative HZ,4.383246832357522,3.470458582855431,1.963133765240355,1.8612294111408731
GJ 739 d,Candidate,138.73,16.13423714,GJ 739,11.0,5688.237937,14.15,0.006815738,,nan,Not in HZ,4.383246832357522,3.470458582855431,1.963133765240355,1.8612294111408731
GM Aur b,Candidate,3286.203561,2.5,GM Aur,12.24,4287.0,155.0,0.261013756,,nan,Not in HZ,4.331024250316549,3.4303943486219106,1.836348815807571,1.7410782933094577
GM Aur c,Candidate,3286.203561,18.0,GM Aur,12.24,4287.0,155.0,0.261013756,,nan,Not in HZ,4.331024250316549,3.4303943486219106,1.836348815807571,1.7410782933094577
GM Aur d,Candidate,3286.203561,62.0,GM Aur,12.24,4287.0,155.0,0.261013756,,nan,Not in HZ,4.331024250316549,3.4303943486219106,1.836348815807571,1.7410782933094577
GM Aur e,Candidate,8.745,0.082,GM Aur,12.24,4287.0,155.0,0.261013756,,nan,Not in HZ,4.331024250316549,3.4303943486219106,1.836348815807571,1.7410782933094577
GY 11 d,Candidate,3286.203561,69.0,GY 91,9.885491525,3300.0,137.0,1.783382596,,nan,Not in HZ,3.822505326261977,3.028030000795234,1.5436237350442408,1.4636265615593131
GY 91 b,Candidate,3286.203561,7.0,GY 91,9.885491525,3300.0,137.0,1.783382596,,nan,Not in HZ,3.822505326261977,3.028030000795234,1.5436237350442408,1.4636265615593131
GY 91 c,Candidate,3286.203561,40.0,GY 91,9.885491525,3300.0,137.0,1.783382596,,nan,Not in HZ,3.822505326261977,3.028030000795234,1.5436237350442408,1.4636265615593131
HD 100546 c,Candidate,3286.203561,13.0,HD 100546,6.7,11000.0,110.0,21.61649966,,nan,Not in HZ,1.2508578739237933e-16,9.803628791668651e-17,6.028142803093166e-17,5.708233227854696e-17
