planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity
K02311.01,Candidate,191.864193,16.13423714,2MASS J19085788+3919579,9.885491525,5688.237937,302.4853135,8.693846668
K02311.02,Candidate,13.72549689,16.13423714,2MASS J19085788+3919579,9.885491525,5688.237937,302.4853135,8.693846668
K02357.01,Candidate,2.42087351,0.0349,2MASS J19324890+4303252,9.885491525,5982,302.4853135,8.693846668
K02357.02,Candidate,15.9042292,0.1224,2MASS J19324890+4303252,9.885491525,5982,302.4853135,8.693846668
K02369.02,Candidate,6.3143447,0.068,2MASS J19025298+4051250,9.885491525,6075,302.4853135,8.693846668
K02369.03,Candidate,7.227407,0.0744,2MASS J19025298+4051250,9.885491525,6075,302.4853135,8.693846668
K02410.01,Candidate,186.6543548,16.13423714,2MASS J19025831+4451281,9.885491525,5688.237937,302.4853135,8.693846668
K02410.02,Candidate,86.59322294,16.13423714,2MASS J19025831+4451281,9.885491525,5688.237937,302.4853135,8.693846668
K02421.01,Candidate,2.27049088,0.0275,2MASS J19534063+4504172,9.885491525,4671,302.4853135,8.693846668
K02421.02,Candidate,4.02320508,0.0402,2MASS J19534063+4504172,9.885491525,4671,302.4853135,8.693846668
K02449.01,Candidate,53.3572551,0.2806,2MASS J19261212+5049322,9.885491525,5893,302.4853135,8.693846668
K02449.02,Candidate,0.912340414,0.0186,2MASS J19261212+5049322,9.885491525,5893,302.4853135,8.693846668
K02554.01,Candidate,39.7559367,0.1829,2MASS J19293114+4738406,9.885491525,4401,302.4853135,8.693846668
K02554.02,Candidate,10.27130881,0.0742,2MASS J19293114+4738406,9.885491525,4401,302.4853135,8.693846668
K02610.01,Candidate,24.1071656,0.1872,2MASS J19282240+3736485,9.885491525,6585,302.4853135,8.693846668
K02610.02,Candidate,115.229503,0.5311,2MASS J19282240+3736485,9.885491525,6585,302.4853135,8.693846668
K02639.01,Candidate,25.1080579,0.1707,2MASS J19012764+4912056,9.885491525,6133,302.4853135,8.693846668
K02639.02,Candidate,2.121023807,0.0329,2MASS J19012764+4912056,9.885491525,6133,302.4853135,8.693846668
K02696.01,Candidate,96.4561033,0.4615,2MASS J18573982+4839288,9.885491525,7030,302.4853135,8.693846668
K02696.02,Candidate,44.5645251,0.2758,2MASS J18573982+4839288,9.885491525,7030,302.4853135,8.693846668
K02840.01,Candidate,3.67934645,0.043,2MASS J19532486+4149122,9.885491525,5676,302.4853135,8.693846668
K02840.02,Candidate,7.446473,0.0688,2MASS J19532486+4149122,9.885491525,5676,302.4853135,8.693846668
K02859.03,Candidate,4.28884513,0.0455,2MASS J19151953+4733071,9.885491525,5374,302.4853135,8.693846668
K02859.04,Candidate,2.90513091,0.0351,2MASS J19151953+4733071,9.885491525,5374,302.4853135,8.693846668
K02859.05,Candidate,5.43099314,0.0532,2MASS J19151953+4733071,9.885491525,5374,302.4853135,8.693846668
K02949.01,Candidate,10.1749173,0.0974,2MASS J19033018+4119567,9.885491525,6197,302.4853135,8.693846668
K02949.02,Candidate,3.75032103,0.0501,2MASS J19033018+4119567,9.885491525,6197,302.4853135,8.693846668
K02971.01,Candidate,6.0960013,0.0663,2MASS J19493448+3949445,9.885491525,6234,302.4853135,8.693846668
K02971.02,Candidate,31.9536205,0.2001,2MASS J19493448+3949445,9.885491525,6234,302.4853135,8.693846668
K03029.01,Candidate,18.9762163,0.133,2MASS J19550200+4109355,9.885491525,5472,302.4853135,8.693846668
K03029.02,Candidate,6.34728429,0.0641,2MASS J19550200+4109355,9.885491525,5472,302.4853135,8.693846668
K03043.01,Candidate,3.08941419,0.0408,2MASS J19334338+4641315,9.885491525,5959,302.4853135,8.693846668
K03043.02,Candidate,7.2929891,0.0723,2MASS J19334338+4641315,9.885491525,5959,302.4853135,8.693846668
K03068.01,Candidate,3.91679363,0.0442,2MASS J19210246+3821179,9.885491525,4886,302.4853135,8.693846668
K03068.02,Candidate,6.65169435,0.0629,2MASS J19210246+3821179,9.885491525,4886,302.4853135,8.693846668
K03083.01,Candidate,10.18316272,0.0929,2MASS J19115492+4240456,9.885491525,5942,302.4853135,8.693846668
K03083.02,Candidate,6.23219191,0.067,2MASS J19115492+4240456,9.885491525,5942,302.4853135,8.693846668
K03083.03,Candidate,8.2942479,0.081,2MASS J19115492+4240456,9.885491525,5942,302.4853135,8.693846668
K03111.01,Candidate,10.76798991,0.1016,2MASS J19541844+4437178,9.885491525,6070,302.4853135,8.693846668
K03111.02,Candidate,4.32849536,0.0553,2MASS J19541844+4437178,9.885491525,6070,302.4853135,8.693846668
K03196.01,Candidate,4.96064303,0.0607,2MASS J18532411+4520208,9.885491525,6422,302.4853135,8.693846668
K03196.02,Candidate,6.88298548,0.0755,2MASS J18532411+4520208,9.885491525,6422,302.4853135,8.693846668
K03283.02,Candidate,20.5719613,0.1353,2MASS J19042138+4522084,9.885491525,4944,302.4853135,8.693846668
K03283.03,Candidate,87.707513,0.3558,2MASS J19042138+4522084,9.885491525,4944,302.4853135,8.693846668
K03340.01,Candidate,8.9539813,0.0823,2MASS J19060244+3837059,9.885491525,6168,302.4853135,8.693846668
K03340.02,Candidate,13.7280953,0.1094,2MASS J19060244+3837059,9.885491525,6168,302.4853135,8.693846668
K03341.01,Candidate,27.0968975,0.1832,2MASS J19285514+4048322,9.885491525,6202,302.4853135,8.693846668
K03341.02,Candidate,11.5474155,0.1038,2MASS J19285514+4048322,9.885491525,6202,302.4853135,8.693846668
K03344.01,Candidate,11.6044694,0.0929,2MASS J19183957+5001121,9.885491525,5881,302.4853135,8.693846668
K03344.03,Candidate,208.55037,0.6377,2MASS J19183957+5001121,9.885491525,5881,302.4853135,8.693846668
K03395.01,Candidate,10.0051616,0.0873,2MASS J19060969+3819573,9.885491525,5912,302.4853135,8.693846668
K03395.02,Candidate,5.0395851,0.0552,2MASS J19060969+3819573,9.885491525,5912,302.4853135,8.693846668
K03398.02,Candidate,35.8022845,0.2152,2MASS J19415954+3838402,9.885491525,6444,302.4853135,8.693846668
K03398.03,Candidate,4.32708542,0.0526,2MASS J19415954+3838402,9.885491525,6444,302.4853135,8.693846668
K03401.01,Candidate,17.9558884,0.1308,2MASS J19495481+4648567,9.885491525,5896,302.4853135,8.693846668
K03401.02,Candidate,326.6708,0.9045,2MASS J19495481+4648567,9.885491525,5896,302.4853135,8.693846668
K03420.01,Candidate,5.7745081,0.0646,2MASS J19360367+4249277,9.885491525,6063,302.4853135,8.693846668
K03420.02,Candidate,12.5015232,0.1082,2MASS J19360367+4249277,9.885491525,6063,302.4853135,8.693846668
K03444.01,Candidate,12.67140393,0.0899,2MASS J19494301+4033428,9.885491525,3842,302.4853135,8.693846668
K03444.02,Candidate,60.32665084,0.2543,2MASS J19494301+4033428,9.885491525,3842,302.4853135,8.693846668
K03444.03,Candidate,2.63597899,0.0315,2MASS J19494301+4033428,9.885491525,3842,302.4853135,8.693846668
K03444.04,Candidate,14.15020327,0.0967,2MASS J19494301+4033428,9.885491525,3842,302.4853135,8.693846668
K03462.01,Candidate,12.4327236,0.1054,2MASS J19504847+4649239,9.885491525,5896,302.4853135,8.693846668
K03462.02,Candidate,30.9904663,0.1938,2MASS J19504847+4649239,9.885491525,5896,302.4853135,8.693846668
K03741.02,Candidate,18.577356,0.1402,2MASS J20011977+4459100,9.885491525,6432,302.4853135,8.693846668
K03741.04,Candidate,9.630953,0.0905,2MASS J20011977+4459100,9.885491525,6432,302.4853135,8.693846668
K04021.01,Candidate,7.23532906,0.0841,2MASS J19360824+5022179,9.885491525,7232,302.4853135,8.693846668
K04021.02,Candidate,4.93209467,0.0651,2MASS J19360824+5022179,9.885491525,7232,302.4853135,8.693846668
K04084.02,Candidate,10.72900793,0.0944,2MASS J19041258+3905457,9.885491525,5375,302.4853135,8.693846668
