planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,referenced_planet,harmonic_ratio,luminosity
HD 3167 e,Confirmed,96.63,0.3885,HD 3167,8.94,5528,47.36,,,0.022698649
HD 34445 b,Confirmed,1056.7,2.075,HD 34445,7.31,5836,46.5,,,0.101859139
HD 34445 c,Confirmed,214.67,0.7181,HD 34445,7.31,5836,46.5,,,0.101859139
HD 34445 d,Confirmed,117.87,0.4817,HD 34445,7.31,5836,46.5,,,0.101859139
HD 34445 e,Confirmed,49.175,0.2687,HD 34445,7.31,5836,46.5,,,0.101859139
HD 34445 f,Confirmed,676.8,1.543,HD 34445,7.31,5836,46.5,,,0.101859139
HD 34445 g,Confirmed,5700,6.36,HD 34445,7.31,5836,46.5,,,0.101859139
HD 38677 b,Confirmed,18.57,0.1462,HD 38677,8,6196,62,,,0.053951062
HD 38677 c,Confirmed,6.584,0.0733,HD 38677,8,6196,62,,,0.053951062
HD 38677 d,Confirmed,2.882,0.0422,HD 38677,8,6196,62,,,0.053951062
HD 38677 e,Confirmed,5.516,0.0651,HD 38677,8,6196,62,,,0.053951062
HD 39194 b,Confirmed,5.6368,0.056,HD 39194,8.08,5205,26.4131,,,0.050118723
HD 39194 c,Confirmed,14.03,0.103,HD 39194,8.08,5205,26.4131,,,0.050118723
HD 39194 d,Confirmed,33.91,0.185,HD 39194,8.08,5205,26.4131,,,0.050118723
HD 40307 b,Confirmed,4.3114,0.0475,HD 40307,7.17,4977,12.8,,,0.115877736
HD 40307 c,Confirmed,9.621,0.0812,HD 40307,7.17,4977,12.8,,,0.115877736
HD 40307 d,Confirmed,20.412,0.134,HD 40307,7.17,4977,12.8,,,0.115877736
HD 40307 e,Confirmed,34.62,0.1886,HD 40307,7.17,4977,12.8,,,0.115877736
HD 40307 f,Confirmed,51.68,0.2485,HD 40307,7.17,4977,12.8,,,0.115877736
HD 40307 g,Confirmed,197.8,0.6,HD 40307,7.17,4977,12.8,,,0.115877736
HD 45184 b,Confirmed,5.8872,0.0638,HD 45184,6.37,5448.139313,21.9,,,0.242102905
HD 45184 c,Confirmed,13.1354,0.11,HD 45184,6.37,5448.139313,21.9,,,0.242102905
HD 45364 b,Confirmed,226.93,0.6813,HD 45364,8.08,5434,32.6,,,0.050118723
HD 45364 c,Confirmed,342.85,0.8972,HD 45364,8.08,5434,32.6,,,0.050118723
HD 48948 b,Confirmed,7.34013,0.0652,HD 48948,11.2837463,5448.139313,680.241723,,,0.002621208
HD 48948 c,Confirmed,37.998,0.1951,HD 48948,11.2837463,5448.139313,680.241723,,,0.002621208
HD 48948 d,Confirmed,151.12,0.4894,HD 48948,11.2837463,5448.139313,680.241723,,,0.002621208
HD 51608 b,Confirmed,14.071,0.10805,HD 51608,8.17,5448.139313,34.8,,,0.046131757
HD 51608 c,Confirmed,95.87,0.38833,HD 51608,8.17,5448.139313,34.8,,,0.046131757
