planet_name,semi_major_axis,star_distance,star_temperature,mag_v,absolute_magnitude,luminosity
GJ 1289 b,0.27,8.86,3175.0,12.67,12.932831390564747,0.0005739412559781481
GJ 143 b,0.1932,16.33,4640.0,8.3,7.235069076316661,0.10913708994347614
GJ 143 c,0.0695,16.33,4640.0,8.3,7.235069076316661,0.10913708994347614
GJ 15 Ab,0.072,3.587,3567.0,8.08,10.306343116620166,0.006448560123384426
GJ 15 Ac,5.4,3.587,3567.0,8.08,10.306343116620166,0.006448560123384426
GJ 179 b,2.41,12.3,3370.0,11.96,11.51047444280301,0.0021272092992561465
GJ 179 c,0.032,12.3,3370.0,11.96,11.51047444280301,0.0021272092992561465
GJ 2030 Ab,0.034,37.0788,5485.0,6.23,3.384371647962861,3.7866166555027325
GJ 2030 Ac,16.752,37.0788,5485.0,6.23,3.384371647962861,3.7866166555027325
GJ 2056 b,0.283,28.443,4002.0,10.4,8.130122993520594,0.04785758755933418
GJ 2056 c,3.453,28.443,4002.0,10.4,8.130122993520594,0.04785758755933418
GJ 229 Ba,28.933,5.75624,3564.0,8.125,9.324305534672007,0.015932274712494095
GJ 229 c,0.896,5.75624,3564.0,8.125,9.324305534672007,0.015932274712494095
GJ 229 d,0.339,5.75624,3564.0,8.125,9.324305534672007,0.015932274712494095
GJ 22 Bb,3.41,9.85629,3598.0,12.19,12.221432634082655,0.0011051645515787174
GJ 238 b,0.02123,15.216,3485.0,11.6,10.688497502033307,0.004535247568802532
GJ 251 b,0.0818,6.581,3451.0,10.0,10.908540546000019,0.00370325639607487
GJ 3021 Ab,0.49,17.62,5540.0,6.59,5.359970479619854,0.6137786931355452
GJ 3090 b,0.03165,22.444,3556.0,11.0,9.244498699842904,0.017147488491816784
GJ 317 b,1.151,15.1,3510.0,12.0,11.105115263534152,0.003089967379101599
GJ 317 c,5.23,15.1,3510.0,12.0,11.105115263534152,0.003089967379101599
GJ 3222 Ab,0.091,17.692,5257.46,6.9,5.66111534651217,0.46510805549808154
GJ 3222 Ac,2.391,17.692,5257.46,6.9,5.66111534651217,0.46510805549808154
GJ 328 b,4.5,19.8,3900.0,9.98,8.496674048692345,0.03414525658063817
GJ 328 c,0.657,19.8,3900.0,9.98,8.496674048692345,0.03414525658063817
GJ 3293 b,0.14339,17.9,3466.0,11.96,10.695734845100535,0.004505116872064652
GJ 3293 c,0.36175,17.9,3466.0,11.96,10.695734845100535,0.004505116872064652
GJ 3293 d,0.194,17.9,3466.0,11.96,10.695734845100535,0.004505116872064652
GJ 3293 e,0.0821,17.9,3466.0,11.96,10.695734845100535,0.004505116872064652
GJ 3341 b,0.089,23.1,3526.0,12.08,10.261940100539277,0.006717751889874861
GJ 341 b,0.0608,10.454,3745.0,9.465,9.36858752119134,0.015295546248680063
GJ 3470 b,0.03557,30.7,3652.0,12.3,9.864308122614068,0.009688950808212202
GJ 3473 b,0.01589,27.39,3347.0,13.0,10.812039838730193,0.004047473970893812
GJ 3473 c,0.0876,27.39,3347.0,13.0,10.812039838730193,0.004047473970893812
GJ 3629 b,6.5,33.48,3367.0,13.38,10.75607275339389,0.004261582483054382
GJ 3634 b,0.0287,20.3779,3517.0,11.95,10.404202866467248,0.005892761355218609
GJ 367  b,0.0069,9.41,3522.0,10.0,10.132051882863715,0.007571453279918423
GJ 3779 b,0.026,13.748,3324.0,13.0,12.308802382674061,0.001019715561430705
GJ 3929 b,0.02569,15.83,3369.0,12.0,11.00259542568822,0.003395954241326924
GJ 3929 c,0.078,15.83,3369.0,12.0,11.00259542568822,0.003395954241326924
GJ 393 b,0.05402,7.0375,3579.0,9.0,9.762907960702986,0.010637432461791904
GJ 3942 b,0.0608,16.93,3867.0,10.0,8.856715209455324,0.024508341107390107
