planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,referenced_planet,harmonic_ratio,luminosity,habitable_zone_status,HZ_distance_recent_venus,HZ_distance_runaway_greenhouse,HZ_distance_maximum_greenhouse,HZ_distance_early_mars,stellar_flux_recent_venus,stellar_flux_runaway_greenhouse,stellar_flux_maximum_greenhouse,stellar_flux_early_mars
2MASS J19514768+4515181 c,Aschwaden Prediction,6.4388661,0.069056536,2MASS J19514768+4515181,11.57451405,6032.0,24949.97293,K04782.01,3 to 2,0.002005369,Conservative HZ,0.033183112748381864,0.04191531101519375,0.07346094635817604,0.07748294963167278,1.8212101068018645,1.141429022953807,0.371604752373822,0.3340273336439662
2MASS J19514768+4515181 b,Aschwaden Prediction,7.154295667,0.074081502,2MASS J19514768+4515181,11.57451405,6032.0,24949.97293,K04782.01,5 to 3,0.002005369,Optimistic HZ,0.033183112748381864,0.04191531101519375,0.07346094635817604,0.07748294963167278,1.8212101068018645,1.141429022953807,0.371604752373822,0.3340273336439662
2MASS J19514768+4515181 c,Aschwaden Prediction,5.36572175,0.061152933,2MASS J19514768+4515181,11.57451405,6032.0,24949.97293,K04782.01,5 to 4,0.002005369,Conservative HZ,0.033183112748381864,0.04191531101519375,0.07346094635817604,0.07748294963167278,1.8212101068018645,1.141429022953807,0.371604752373822,0.3340273336439662
2MASS J19514768+4515181 b,Aschwaden Prediction,5.723436533,0.063841503,2MASS J19514768+4515181,11.57451405,6032.0,24949.97293,K04782.01,4 to 3,0.002005369,Conservative HZ,0.033183112748381864,0.04191531101519375,0.07346094635817604,0.07748294963167278,1.8212101068018645,1.141429022953807,0.371604752373822,0.3340273336439662
2MASS J19514768+4515181 c,Aschwaden Prediction,10.7314435,0.09707423,2MASS J19514768+4515181,11.57451405,6032.0,24949.97293,K04782.01,5 to 2,0.002005369,Not in HZ,0.033183112748381864,0.04191531101519375,0.07346094635817604,0.07748294963167278,1.8212101068018645,1.141429022953807,0.371604752373822,0.3340273336439662
2MASS J19514768+4515181 b,Aschwaden Prediction,12.8777322,0.109620417,2MASS J19514768+4515181,11.57451405,6032.0,24949.97293,K04782.01,3 to 1,0.002005369,Not in HZ,0.033183112748381864,0.04191531101519375,0.07346094635817604,0.07748294963167278,1.8212101068018645,1.141429022953807,0.371604752373822,0.3340273336439662
2MASS J19532486+4149122 b,Aschwaden Prediction,7.3586929,0.068258245,2MASS J19532486+4149122,11.57451405,5676.0,24949.97293,K02840.01,2 to 1,0.002005369,Conservative HZ,0.03390897568964677,0.04282743550790605,0.07573715317172282,0.07988384364338708,1.744074190163284,1.0933272122704238,0.34960396031945723,0.3142507994535236
2MASS J19532486+4149122 c,Aschwaden Prediction,5.519019675,0.05634594,2MASS J19532486+4149122,11.57451405,5676.0,24949.97293,K02840.01,3 to 2,0.002005369,Conservative HZ,0.03390897568964677,0.04282743550790605,0.07573715317172282,0.07988384364338708,1.744074190163284,1.0933272122704238,0.34960396031945723,0.3142507994535236
2MASS J19532486+4149122 b,Aschwaden Prediction,6.132244083,0.060446008,2MASS J19532486+4149122,11.57451405,5676.0,24949.97293,K02840.01,5 to 3,0.002005369,Conservative HZ,0.03390897568964677,0.04282743550790605,0.07573715317172282,0.07988384364338708,1.744074190163284,1.0933272122704238,0.34960396031945723,0.3142507994535236
2MASS J19532486+4149122 c,Aschwaden Prediction,4.599183063,0.04989708,2MASS J19532486+4149122,11.57451405,5676.0,24949.97293,K02840.01,5 to 4,0.002005369,Conservative HZ,0.03390897568964677,0.04282743550790605,0.07573715317172282,0.07988384364338708,1.744074190163284,1.0933272122704238,0.34960396031945723,0.3142507994535236
