planet_name,semi_major_axis,star_distance,star_temperature,mag_v
CWISEP J144606.62-231717.8,,10.1,,
CWISEP J1935-1546,,10.1,,
DANCe J15454024-2422072,,145,,
DANCe J15481655-2307430,,145,,
DANCe J15582895-2530319,,145,,
DANCe J16041234-2127472,,145,,
DANCe J16053908-2403330,,145,,
DANCe J16064467-2033428,,145,,
DANCe J16064553-2121595,,145,,
DANCe J16081299-2304316,,145,,
DANCe J16091010-1930376,,145,,
DANCe J16123953-2614510,,145,,
DANCe J16134589-2442310,,145,,
DANCe J16135217-2443562,,145,,
DANCe J16140756-2211524,,145,,
DANCe J16255679-2113354,,145,,
DANCe J16393029-2454135,,145,,
DE0630-18 a,,20,,
DE0630-18 (bc),,20,,
DE CVn b,5.75,,,13
del Vir b,1.33,60.81,3657,3.4
DENIS 1058-1548,,18.32,,
DENIS 1538-1038,,31.7,,
DENIS 19,,20.9,,
DENIS 19 b,6.36,20.9,,
DENIS J0225-5837,,41.23,,
DENIS J0255-4700,,29,,
DENIS J0751-2530,,17.72,,
DENIS J0817-6155,,4.9,,
DENIS J0823-4912 b,0.36,20.69,2150,
DENIS J0909-0658,,24.94,,
DENIS J1733-1654 b,5.3,18.2,,
DENIS J185950.9-370632,,154.54,,
DENIS J185950.9-370632 b,9.8,154.54,,
DENIS J2000-7523,,33.3,,
DENIS J2252-1730,,15.9,,
DENIS J2252-1730 b,1.95,15.9,,
DENIS-P J0205-1159,,19.76,,
DENIS-P J0205-1159 b,5.9,19.76,,
DENIS-P J0357-4417,,46.7,,
DH Tau b,330,,,13.71
DI UMa b,0.0026,800,,
DMPP-4 b,0.04853,25.43,6400,5.7
DoAr 21 (AB)b,1.55,134.6,5080,14
DoAr 21 (AB)c,2.8,134.6,5080,14
DP Leo (AB) b,8.19,,,17.5
DS Tuc Ab,0.0795,44.12,5597,9
DW Lyn b,1.148,,,
EF Eri b,0.0028,111,10000,14.53
EG Cnc b,0.00268,320,15000,18
Elias 2-24 b,58,139,4483,14.4
Elias 2-27 b,500,115,3850,
EPIC 205084841 b,0.104,843.771,5091,16.46
EPIC 212036875 b,0.0645,306.57,6283.43,10.95
EPIC 212235321 b,,385,24500,
EPIC 219388192 Ab,0.0593,300,5850,12.5
eps CrB Ab,1.3,67.9,4406,4.14
eps Eridani b,3.53,3.2,5116,3.73
eps Ind Ab,11.08,3.63857,4611,4.69
eps Ind Bb,2.4057,3.63857,1368,24.1
eps Ret Ab,1.16,18.1,4749,4.44
eps Tau b,1.9,45,4901,3.53
EROS-MP J0032-4405,,34.54,,
eta2 Hyi b,1.89,66.5,4975,4.7
eta Cet b,1.27,38,4528,3.45
eta Cet c,1.93,38,4528,3.45
eta CrB (AB)b,3600,18.62197,6028.7,4.98
eta Tel b,218,49.54,9760,5
ET Cha b,13,91.7,3190,13.97
EZ Lyn b,0.00273,142.8,11250,
FLMN J0541287-0155264,,415,,
FLMN J0541328-0151271,,415,,
FLMN J0541338-0153087,,415,,
FLMN J0541345-0152135,,415,,
FLMN J0541345-0154500,,415,,
FLMN J0541364-0154412,,415,,
FLMN J0541366-0154151,,415,,
FLMN J0541368-0154479,,415,,
FLMN J0541374-0152311,,415,,
FLMN J0541377-0155097,,415,,
FLMN J0541387-0150507,,415,,
FLMN J0541456-0157332,,415,,
FLMN J0541461-0151442,,415,,
FLMN J0541497-0156198,,415,,
