planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity
Kepler-200 b,Confirmed,8.594805,0.08,Kepler-200,10.81796395,5678,678.93,18.55514789
Kepler-200 c,Confirmed,10.222157,0.09,Kepler-200,10.81796395,5678,678.93,18.55514789
Kepler-201 b,Confirmed,25.672083,0.175,Kepler-201,10.81796395,6065,648.18,16.91241685
Kepler-201 c,Confirmed,151.884058,0.573,Kepler-201,10.81796395,6065,648.18,16.91241685
Kepler-202 b,Confirmed,4.069427,0.045,Kepler-202,10.81796395,4668,287.48,3.326822989
Kepler-202 c,Confirmed,16.282493,0.113,Kepler-202,10.81796395,4668,287.48,3.326822989
Kepler-203 b,Confirmed,3.162697,0.043,Kepler-203,10.81796395,5821,717.73,20.7365556
Kepler-203 c,Confirmed,5.370647,0.061,Kepler-203,10.81796395,5821,717.73,20.7365556
Kepler-203 d,Confirmed,11.32972,0.1,Kepler-203,10.81796395,5821,717.73,20.7365556
Kepler-204 b,Confirmed,14.400974,0.117,Kepler-204,10.81796395,5812,700.59,19.75796854
Kepler-204 c,Confirmed,25.660593,0.173,Kepler-204,10.81796395,5812,700.59,19.75796854
Kepler-205 b,Confirmed,2.75564,0.032,Kepler-205,10.81796395,4321,160.46,1.036449144
Kepler-205 c,Confirmed,20.306546,0.122,Kepler-205,10.81796395,4321,160.46,1.036449144
Kepler-206 b,Confirmed,7.781987,0.078,Kepler-206,10.81796395,5764,604.81,14.72489979
Kepler-206 c,Confirmed,13.137471,0.111,Kepler-206,10.81796395,5764,604.81,14.72489979
Kepler-206 d,Confirmed,23.44281,0.163,Kepler-206,10.81796395,5764,604.81,14.72489979
Kepler-207 b,Confirmed,1.611865,0.029,Kepler-207,10.81796395,5920,898.2,32.47584972
Kepler-207 c,Confirmed,3.071571,0.044,Kepler-207,10.81796395,5920,898.2,32.47584972
Kepler-207 d,Confirmed,5.868075,0.068,Kepler-207,10.81796395,5920,898.2,32.47584972
Kepler-208 b,Confirmed,4.22864,0.054,Kepler-208,10.81796395,6092,793.01,25.31463963
Kepler-208 c,Confirmed,7.466623,0.079,Kepler-208,10.81796395,6092,793.01,25.31463963
Kepler-208 d,Confirmed,11.131786,0.103,Kepler-208,10.81796395,6092,793.01,25.31463963
Kepler-208 e,Confirmed,16.259458,0.132,Kepler-208,10.81796395,6092,793.01,25.31463963
Kepler-209 b,Confirmed,16.087845,0.122,Kepler-209,10.81796395,5513,586.68,13.85533364
Kepler-209 c,Confirmed,41.749882,0.231,Kepler-209,10.81796395,5513,586.68,13.85533364
Kepler-20 Ab,Confirmed,3.6961049,0.045862,Kepler-20 A,12.5,5495,282.563,0.682701073
Kepler-20 Ac,Confirmed,10.8540774,0.094,Kepler-20 A,12.5,5495,282.563,0.682701073
Kepler-20 Ad,Confirmed,77.611455,0.349,Kepler-20 A,12.5,5495,282.563,0.682701073
Kepler-20 Ae,Confirmed,6.0984882,0.064,Kepler-20 A,12.5,5495,282.563,0.682701073
Kepler-20 Af,Confirmed,19.578328,0.13936,Kepler-20 A,12.5,5495,282.563,0.682701073
Kepler-20 Ag,Confirmed,34.951009,0.2055,Kepler-20 A,12.5,5495,282.563,0.682701073
Kepler-210 b,Confirmed,2.453234,0.032,Kepler-210,14.4,4559,234.33,0.081593542
Kepler-210 c,Confirmed,7.972513,0.07,Kepler-210,14.4,4559,234.33,0.081593542
Kepler-211 b,Confirmed,4.138575,0.048,Kepler-211,10.81796395,5123,312.14,3.922051334
Kepler-211 c,Confirmed,6.04045,0.062,Kepler-211,10.81796395,5123,312.14,3.922051334
Kepler-212 b,Confirmed,16.257582,0.133,Kepler-212,10.81796395,5852,701.04,19.7833584
Kepler-212 c,Confirmed,31.805174,0.207,Kepler-212,10.81796395,5852,701.04,19.7833584
Kepler-213 b,Confirmed,2.46236,0.036,Kepler-213,10.81796395,5696,646.74,16.8373549
Kepler-213 c,Confirmed,4.822962,0.057,Kepler-213,10.81796395,5696,646.74,16.8373549
Kepler-214 b,Confirmed,15.660544,0.13,Kepler-214,10.81796395,6169,1252.07,63.10614358
Kepler-214 c,Confirmed,28.7798,0.194,Kepler-214,10.81796395,6169,1252.07,63.10614358
Kepler-215 b,Confirmed,9.360672,0.084,Kepler-215,10.81796395,5739,492.9,9.77984694
Kepler-215 c,Confirmed,14.667108,0.113,Kepler-215,10.81796395,5739,492.9,9.77984694
Kepler-215 d,Confirmed,30.864423,0.185,Kepler-215,10.81796395,5739,492.9,9.77984694
Kepler-215 e,Confirmed,68.16101,0.314,Kepler-215,10.81796395,5739,492.9,9.77984694
Kepler-216 b,Confirmed,7.693641,0.079,Kepler-216,10.81796395,6091,1229.44,60.84558896
Kepler-216 c,Confirmed,17.406669,0.136,Kepler-216,10.81796395,6091,1229.44,60.84558896
Kepler-217 b,Confirmed,5.374943,0.065,Kepler-217,10.81796395,6171,1140.95,52.40197396
Kepler-217 c,Confirmed,8.586004,0.089,Kepler-217,10.81796395,6171,1140.95,52.40197396
Kepler-217 d,Confirmed,3.88689525,23.20727704,Kepler-217,10.81796395,6171,1140.95,52.40197396
Kepler-218 b,Confirmed,3.619337,0.046,Kepler-218,10.81796395,5502,669.02,18.01742088
Kepler-218 c,Confirmed,44.699576,0.248,Kepler-218,10.81796395,5502,669.02,18.01742088
Kepler-218 d,Confirmed,124.5244647,23.20727704,Kepler-218,10.81796395,5502,669.02,18.01742088
Kepler-219 b,Confirmed,4.585512,0.057,Kepler-219,10.81796395,5786,805.3,26.105368
Kepler-219 c,Confirmed,22.714613,0.165,Kepler-219,10.81796395,5786,805.3,26.105368
Kepler-219 d,Confirmed,47.903645,0.272,Kepler-219,10.81796395,5786,805.3,26.105368
Kepler-220 b,Confirmed,4.159807,0.046,Kepler-220,10.81796395,4632,171.96,1.190335249
Kepler-220 c,Confirmed,9.034199,0.076,Kepler-220,10.81796395,4632,171.96,1.190335249
Kepler-220 d,Confirmed,28.122397,0.163,Kepler-220,10.81796395,4632,171.96,1.190335249
Kepler-220 e,Confirmed,45.902733,0.226,Kepler-220,10.81796395,4632,171.96,1.190335249
Kepler-221 b,Confirmed,2.795906,0.037,Kepler-221,10.81796395,5243,389.55,6.10858806
Kepler-221 c,Confirmed,5.690586,0.059,Kepler-221,10.81796395,5243,389.55,6.10858806
Kepler-221 d,Confirmed,10.04156,0.087,Kepler-221,10.81796395,5243,389.55,6.10858806
Kepler-221 e,Confirmed,18.369917,0.13,Kepler-221,10.81796395,5243,389.55,6.10858806
Kepler-222 b,Confirmed,3.936981,0.048,Kepler-222,10.81796395,5433,775.61,24.21593383
Kepler-222 c,Confirmed,10.08881,0.091,Kepler-222,10.81796395,5433,775.61,24.21593383
Kepler-222 d,Confirmed,28.081912,0.18,Kepler-222,10.81796395,5433,775.61,24.21593383
Kepler-223 b,Confirmed,7.38449,0.073,Kepler-223,10.81796395,5829,1960.49,154.7190123
Kepler-223 c,Confirmed,9.84564,0.088,Kepler-223,10.81796395,5829,1960.49,154.7190123
Kepler-223 d,Confirmed,14.78869,0.116,Kepler-223,10.81796395,5829,1960.49,154.7190123
Kepler-223 e,Confirmed,19.72567,0.14,Kepler-223,10.81796395,5829,1960.49,154.7190123
Kepler-224 b,Confirmed,3.132924,0.038,Kepler-224,10.81796395,5018,799.75,25.74677982
Kepler-224 c,Confirmed,5.925003,0.058,Kepler-224,10.81796395,5018,799.75,25.74677982
Kepler-224 d,Confirmed,11.349393,0.089,Kepler-224,10.81796395,5018,799.75,25.74677982
Kepler-224 e,Confirmed,18.643577,0.124,Kepler-224,10.81796395,5018,799.75,25.74677982
Kepler-225 b,Confirmed,6.738975,0.056,Kepler-225,10.81796395,3682,569.99,13.0782277
Kepler-225 c,Confirmed,18.794234,0.111,Kepler-225,10.81796395,3682,569.99,13.0782277
Kepler-226 b,Confirmed,3.940997,0.047,Kepler-226,10.81796395,5571,1008.14,40.91250909
Kepler-226 c,Confirmed,5.349555,0.058,Kepler-226,10.81796395,5571,1008.14,40.91250909
Kepler-226 d,Confirmed,8.109044,0.076,Kepler-226,10.81796395,5571,1008.14,40.91250909
Kepler-227 b,Confirmed,9.488015,0.09,Kepler-227,10.81796395,5854,1117.5,50.27006945
Kepler-227 c,Confirmed,54.418694,0.29,Kepler-227,10.81796395,5854,1117.5,50.27006945
Kepler-228 b,Confirmed,2.566546,0.038,Kepler-228,10.81796395,6043,1724.6,119.7267476
Kepler-228 c,Confirmed,4.134444,0.052,Kepler-228,10.81796395,6043,1724.6,119.7267476
Kepler-228 d,Confirmed,11.094286,0.101,Kepler-228,10.81796395,6043,1724.6,119.7267476
Kepler-229 b,Confirmed,6.252972,0.062,Kepler-229,10.81796395,5120,845.88,28.80261603
Kepler-229 c,Confirmed,16.068638,0.117,Kepler-229,10.81796395,5120,845.88,28.80261603
Kepler-229 d,Confirmed,41.194912,0.22,Kepler-229,10.81796395,5120,845.88,28.80261603
Kepler-230 b,Confirmed,32.625555,0.191,Kepler-230,10.81796395,5588,756.73,23.05134787
Kepler-230 c,Confirmed,91.773242,0.38,Kepler-230,10.81796395,5588,756.73,23.05134787
Kepler-231 b,Confirmed,10.065275,0.074,Kepler-231,10.81796395,3767,319.49,4.108932059
Kepler-231 c,Confirmed,19.271566,0.114,Kepler-231,10.81796395,3767,319.49,4.108932059
Kepler-232 b,Confirmed,4.431222,0.054,Kepler-232,10.81796395,5847,1402.96,79.23279924
Kepler-232 c,Confirmed,11.379349,0.101,Kepler-232,10.81796395,5847,1402.96,79.23279924
Kepler-233 b,Confirmed,8.472382,0.077,Kepler-233,10.81796395,5360,877.73,31.01246637
Kepler-233 c,Confirmed,60.418955,0.287,Kepler-233,10.81796395,5360,877.73,31.01246637
Kepler-234 b,Confirmed,2.711506,0.04,Kepler-234,10.81796395,6224,1821.01,133.4870339
Kepler-234 c,Confirmed,7.21205,0.077,Kepler-234,10.81796395,6224,1821.01,133.4870339
Kepler-235 b,Confirmed,3.340222,0.037,Kepler-235,10.81796395,4255,433.24,7.555644502
Kepler-235 c,Confirmed,7.824904,0.065,Kepler-235,10.81796395,4255,433.24,7.555644502
Kepler-235 d,Confirmed,20.060548,0.122,Kepler-235,10.81796395,4255,433.24,7.555644502
Kepler-235 e,Confirmed,46.183669,0.213,Kepler-235,10.81796395,4255,433.24,7.555644502
Kepler-236 b,Confirmed,8.295611,0.065,Kepler-236,10.81796395,3750,291.17,3.41277514
Kepler-236 c,Confirmed,23.968127,0.132,Kepler-236,10.81796395,3750,291.17,3.41277514
Kepler-237 b,Confirmed,4.715106,0.05,Kepler-237,10.81796395,4861,670.41,18.09236701
Kepler-237 c,Confirmed,8.103636,0.071,Kepler-237,10.81796395,4861,670.41,18.09236701
Kepler-238 b,Confirmed,2.090876,0.034,Kepler-238,10.81796395,5751,1897.73,144.9717121
Kepler-238 c,Confirmed,6.155557,0.069,Kepler-238,10.81796395,5751,1897.73,144.9717121
Kepler-238 d,Confirmed,13.233549,0.115,Kepler-238,10.81796395,5751,1897.73,144.9717121
Kepler-238 e,Confirmed,23.654,23.20727704,Kepler-238,10.81796395,5751,1897.73,144.9717121
Kepler-238 f,Confirmed,50.447,23.20727704,Kepler-238,10.81796395,5751,1897.73,144.9717121
Kepler-239 b,Confirmed,11.763051,0.095,Kepler-239,10.81796395,4914,660.07,17.5385793
Kepler-239 c,Confirmed,56.228098,0.268,Kepler-239,10.81796395,4914,660.07,17.5385793
Kepler-23 b,Confirmed,7.1073,0.075,Kepler-23,14,5828,856.34,1.575043168
Kepler-23 c,Confirmed,10.7421,0.099,Kepler-23,14,5828,856.34,1.575043168
Kepler-23 d,Confirmed,15.274299,0.124,Kepler-23,14,5828,856.34,1.575043168
Kepler-240 b,Confirmed,4.144495,0.048,Kepler-240,10.81796395,4985,762.74,23.41895254
Kepler-240 c,Confirmed,7.953528,0.074,Kepler-240,10.81796395,4985,762.74,23.41895254
Kepler-241 b,Confirmed,12.718092,0.094,Kepler-241,10.81796395,4699,609.86,14.97182425
Kepler-241 c,Confirmed,36.065978,0.189,Kepler-241,10.81796395,4699,609.86,14.97182425
Kepler-242 b,Confirmed,8.20395,0.075,Kepler-242,10.81796395,5020,610.6,15.00817971
Kepler-242 c,Confirmed,14.496481,0.109,Kepler-242,10.81796395,5020,610.6,15.00817971
Kepler-243 b,Confirmed,5.715442,0.062,Kepler-243,10.81796395,5228,707.94,20.17471111
Kepler-243 c,Confirmed,20.026218,0.142,Kepler-243,10.81796395,5228,707.94,20.17471111
Kepler-244 b,Confirmed,4.311792,0.05,Kepler-244,10.81796395,5554,1067.62,45.88257926
Kepler-244 c,Confirmed,9.767292,0.087,Kepler-244,10.81796395,5554,1067.62,45.88257926
Kepler-244 d,Confirmed,20.050401,0.14,Kepler-244,10.81796395,5554,1067.62,45.88257926
Kepler-245 b,Confirmed,7.49019,0.071,Kepler-245,10.81796395,5100,882.65,31.36111339
Kepler-245 c,Confirmed,17.460812,0.124,Kepler-245,10.81796395,5100,882.65,31.36111339
Kepler-245 d,Confirmed,36.277108,0.202,Kepler-245,10.81796395,5100,882.65,31.36111339
Kepler-245 e,Confirmed,3.21982106,23.20727704,Kepler-245,10.81796395,5100,882.65,31.36111339
Kepler-246 b,Confirmed,4.60182,0.052,Kepler-246,10.81796395,5206,637.44,16.3566005
Kepler-246 c,Confirmed,11.187161,0.095,Kepler-246,10.81796395,5206,637.44,16.3566005
Kepler-247 b,Confirmed,3.33616,0.042,Kepler-247,10.81796395,5100,676.38,18.41602672
Kepler-247 c,Confirmed,9.439452,0.084,Kepler-247,10.81796395,5100,676.38,18.41602672
Kepler-247 d,Confirmed,20.477912,0.14,Kepler-247,10.81796395,5100,676.38,18.41602672
Kepler-248 b,Confirmed,6.308205,0.066,Kepler-248,10.81796395,5190,754.65,22.92480099
Kepler-248 c,Confirmed,16.239494,0.123,Kepler-248,10.81796395,5190,754.65,22.92480099
Kepler-249 b,Confirmed,3.306539,0.035,Kepler-249,10.81796395,3568,191.44,1.475298133
Kepler-249 c,Confirmed,7.113702,0.058,Kepler-249,10.81796395,3568,191.44,1.475298133
Kepler-249 d,Confirmed,15.368459,0.097,Kepler-249,10.81796395,3568,191.44,1.475298133
Kepler-24 b,Confirmed,8.1453,0.08,Kepler-24,15.5,5897,1195.99,0.771711722
Kepler-24 c,Confirmed,12.3335,0.106,Kepler-24,15.5,5897,1195.99,0.771711722
Kepler-24 d,Confirmed,4.244384,0.051,Kepler-24,15.5,5897,1195.99,0.771711722
Kepler-24 e,Confirmed,18.998355,0.138,Kepler-24,15.5,5897,1195.99,0.771711722
Kepler-250 b,Confirmed,4.148141,0.048,Kepler-250,10.81796395,5160,777.31,24.32220426
Kepler-250 c,Confirmed,7.156804,0.069,Kepler-250,10.81796395,5160,777.31,24.32220426
Kepler-250 d,Confirmed,17.648312,0.127,Kepler-250,10.81796395,5160,777.31,24.32220426
Kepler-251 b,Confirmed,4.790936,0.053,Kepler-251,10.81796395,5526,948.98,36.25171365
Kepler-251 c,Confirmed,16.514043,0.122,Kepler-251,10.81796395,5526,948.98,36.25171365
Kepler-251 d,Confirmed,30.133001,0.182,Kepler-251,10.81796395,5526,948.98,36.25171365
Kepler-251 e,Confirmed,99.640161,0.404,Kepler-251,10.81796395,5526,948.98,36.25171365
Kepler-252 b,Confirmed,6.668391,0.058,Kepler-252,10.81796395,4208,383.59,5.923098776
Kepler-252 c,Confirmed,10.848463,0.08,Kepler-252,10.81796395,4208,383.59,5.923098776
Kepler-253 b,Confirmed,3.783986,0.046,Kepler-253,10.81796395,5208,858.93,29.69818887
Kepler-253 c,Confirmed,10.281951,0.089,Kepler-253,10.81796395,5208,858.93,29.69818887
Kepler-253 d,Confirmed,18.119869,0.13,Kepler-253,10.81796395,5208,858.93,29.69818887
Kepler-254 b,Confirmed,5.826662,0.064,Kepler-254,10.81796395,5957,1446.45,84.22117056
Kepler-254 c,Confirmed,12.412183,0.105,Kepler-254,10.81796395,5957,1446.45,84.22117056
Kepler-254 d,Confirmed,18.746477,0.139,Kepler-254,10.81796395,5957,1446.45,84.22117056
Kepler-255 b,Confirmed,5.714606,0.063,Kepler-255,10.81796395,5573,1084.5,47.34493605
Kepler-255 c,Confirmed,9.946047,0.092,Kepler-255,10.81796395,5573,1084.5,47.34493605
Kepler-255 d,Confirmed,1.04562266,23.20727704,Kepler-255,10.81796395,5573,1084.5,47.34493605
Kepler-256 b,Confirmed,1.620493,0.027,Kepler-256,10.81796395,5551,1057.36,45.00493881
Kepler-256 c,Confirmed,3.38802,0.045,Kepler-256,10.81796395,5551,1057.36,45.00493881
Kepler-256 d,Confirmed,5.839172,0.064,Kepler-256,10.81796395,5551,1057.36,45.00493881
Kepler-256 e,Confirmed,10.681572,0.096,Kepler-256,10.81796395,5551,1057.36,45.00493881
Kepler-257 b,Confirmed,2.382667,0.034,Kepler-257,10.81796395,5180,797.75,25.6181667
Kepler-257 c,Confirmed,6.581484,0.066,Kepler-257,10.81796395,5180,797.75,25.6181667
Kepler-257 d,Confirmed,24.664551,0.16,Kepler-257,10.81796395,5180,797.75,25.6181667
Kepler-258 b,Confirmed,13.19722,0.103,Kepler-258,10.81796395,4942,585.6,13.80436893
Kepler-258 c,Confirmed,33.653079,0.193,Kepler-258,10.81796395,4942,585.6,13.80436893
Kepler-259 b,Confirmed,8.115317,0.079,Kepler-259,10.81796395,5938,1031.58,42.8371184
Kepler-259 c,Confirmed,36.924931,0.217,Kepler-259,10.81796395,5938,1031.58,42.8371184
Kepler-25 Ab,Confirmed,6.238297,0.06944,Kepler-25 A,11,6212,244.96,2.042633013
Kepler-25 Ac,Confirmed,12.7207,0.1116,Kepler-25 A,11,6212,244.96,2.042633013
Kepler-25 Ad,Confirmed,91.605187,0.4164,Kepler-25 A,11,6212,244.96,2.042633013
Kepler-260 b,Confirmed,8.187399,0.075,Kepler-260,10.81796395,5250,638.85,16.42904124
Kepler-260 c,Confirmed,76.050178,0.332,Kepler-260,10.81796395,5250,638.85,16.42904124
Kepler-261 b,Confirmed,10.381227,0.088,Kepler-261,10.81796395,5098,320.43,4.133146138
Kepler-261 c,Confirmed,24.570858,0.156,Kepler-261,10.81796395,5098,320.43,4.133146138
Kepler-262 b,Confirmed,13.060855,0.108,Kepler-262,10.81796395,5841,624.08,15.67815491
Kepler-262 c,Confirmed,21.853722,0.152,Kepler-262,10.81796395,5841,624.08,15.67815491
Kepler-263 b,Confirmed,16.568087,0.12,Kepler-263,10.81796395,5265,771.09,23.93451125
Kepler-263 c,Confirmed,47.332773,0.242,Kepler-263,10.81796395,5265,771.09,23.93451125
Kepler-264 b,Confirmed,40.806231,0.249,Kepler-264,10.81796395,6158,968.15,37.73112211
Kepler-264 c,Confirmed,140.101261,0.566,Kepler-264,10.81796395,6158,968.15,37.73112211
Kepler-265 b,Confirmed,6.846262,0.069,Kepler-265,10.81796395,5835,1328.21,71.01464379
Kepler-265 c,Confirmed,17.028937,0.127,Kepler-265,10.81796395,5835,1328.21,71.01464379
Kepler-265 d,Confirmed,43.130617,0.236,Kepler-265,10.81796395,5835,1328.21,71.01464379
Kepler-265 e,Confirmed,67.831024,0.319,Kepler-265,10.81796395,5835,1328.21,71.01464379
Kepler-266 b,Confirmed,6.61833,0.071,Kepler-266,10.81796395,5885,1425.27,81.77277
Kepler-266 c,Confirmed,107.723601,0.457,Kepler-266,10.81796395,5885,1425.27,81.77277
Kepler-267 b,Confirmed,3.353728,0.037,Kepler-267,10.81796395,4258,267,2.869702951
Kepler-267 c,Confirmed,6.87745,0.06,Kepler-267,10.81796395,4258,267,2.869702951
Kepler-267 d,Confirmed,28.464515,0.154,Kepler-267,10.81796395,4258,267,2.869702951
Kepler-268 b,Confirmed,25.934138,0.18,Kepler-268,10.81796395,6081,873.21,30.69388226
Kepler-268 c,Confirmed,83.446393,0.391,Kepler-268,10.81796395,6081,873.21,30.69388226
Kepler-269 b,Confirmed,5.326718,0.061,Kepler-269,10.81796395,5847,2418.83,235.5185475
Kepler-269 c,Confirmed,8.127899,0.081,Kepler-269,10.81796395,5847,2418.83,235.5185475
Kepler-26 b,Confirmed,12.28,0.085,Kepler-26,16,3914,338.55,0.03901626
Kepler-26 c,Confirmed,17.2559,0.107,Kepler-26,16,3914,338.55,0.03901626
Kepler-26 d,Confirmed,3.543919,0.039,Kepler-26,16,3914,338.55,0.03901626
Kepler-26 e,Confirmed,46.827915,0.22,Kepler-26,16,3914,338.55,0.03901626
Kepler-270 b,Confirmed,11.476094,0.107,Kepler-270,10.81796395,6067,975.46,38.30304954
Kepler-270 c,Confirmed,25.262887,0.18,Kepler-270,10.81796395,6067,975.46,38.30304954
Kepler-271 Ab,Confirmed,10.43547031,0.0881,Kepler-271 A,13.58,5645.65,404.542,0.517520115
Kepler-271 Ac,Confirmed,7.41084314,0.071,Kepler-271 A,13.58,5645.65,404.542,0.517520115
Kepler-271 Ad,Confirmed,5.24970432,0.0554,Kepler-271 A,13.58,5645.65,404.542,0.517520115
Kepler-272 b,Confirmed,2.971353,0.038,Kepler-272,10.81796395,5297,912.85,33.54387734
Kepler-272 c,Confirmed,6.057342,0.061,Kepler-272,10.81796395,5297,912.85,33.54387734
Kepler-272 d,Confirmed,10.937304,0.091,Kepler-272,10.81796395,5297,912.85,33.54387734
Kepler-273 b,Confirmed,2.936532,0.037,Kepler-273,10.81796395,5626,728.85,21.38408824
Kepler-273 c,Confirmed,8.014927,0.073,Kepler-273,10.81796395,5626,728.85,21.38408824
Kepler-274 b,Confirmed,11.634788,0.101,Kepler-274,10.81796395,6023,1385.51,77.27406358
Kepler-274 c,Confirmed,33.197861,0.204,Kepler-274,10.81796395,6023,1385.51,77.27406358
Kepler-275 b,Confirmed,10.300682,0.098,Kepler-275,10.81796395,6165,2155.2,186.9775989
Kepler-275 c,Confirmed,16.088134,0.132,Kepler-275,10.81796395,6165,2155.2,186.9775989
Kepler-275 d,Confirmed,35.676062,0.224,Kepler-275,10.81796395,6165,2155.2,186.9775989
Kepler-276 b,Confirmed,14.12841,0.119,Kepler-276,10.81796395,6105,1181.73,56.2148354
Kepler-276 c,Confirmed,31.884,23.20727704,Kepler-276,10.81796395,6105,1181.73,56.2148354
Kepler-276 d,Confirmed,48.648,23.20727704,Kepler-276,10.81796395,6105,1181.73,56.2148354
Kepler-277 b,Confirmed,17.324,23.20727704,Kepler-277,13.4,5946,1004.88,3.769019681
Kepler-277 c,Confirmed,33.006,23.20727704,Kepler-277,13.4,5946,1004.88,3.769019681
Kepler-278 b,Confirmed,30.160546,0.207,Kepler-278,10.81796395,4991,448.65,8.102700115
Kepler-278 c,Confirmed,51.078775,0.294,Kepler-278,10.81796395,4991,448.65,8.102700115
Kepler-279 b,Confirmed,12.309681,0.112,Kepler-279,13.7,6363,1069.2,3.236815165
Kepler-279 c,Confirmed,35.736,0.232,Kepler-279,13.7,6363,1069.2,3.236815165
Kepler-279 d,Confirmed,54.414,0.30728,Kepler-279,13.7,6363,1069.2,3.236815165
Kepler-27 b,Confirmed,15.3348,0.118,Kepler-27,10.81796395,5400,1075.1,46.52776007
Kepler-27 c,Confirmed,31.3309,0.191,Kepler-27,10.81796395,5400,1075.1,46.52776007
Kepler-27 d,Confirmed,1585.448733,23.20727704,Kepler-27,10.81796395,5400,1075.1,46.52776007
Kepler-280 b,Confirmed,2.139542,0.032,Kepler-280,10.81796395,5744,798.21,25.6477192
Kepler-280 c,Confirmed,4.807091,0.056,Kepler-280,10.81796395,5744,798.21,25.6477192
Kepler-281 b,Confirmed,14.646008,0.117,Kepler-281,10.81796395,5723,1835,135.5459541
Kepler-281 c,Confirmed,36.337373,0.215,Kepler-281,10.81796395,5723,1835,135.5459541
Kepler-281 d,Confirmed,148.2720032,0.5456,Kepler-281,10.81796395,5723,1835,135.5459541
Kepler-282 b,Confirmed,9.220524,0.082,Kepler-282,15.2,5602,1390.97,1.376054157
Kepler-282 c,Confirmed,13.638723,0.106,Kepler-282,15.2,5602,1390.97,1.376054157
Kepler-282 d,Confirmed,24.806,23.20727704,Kepler-282,15.2,5602,1390.97,1.376054157
Kepler-282 e,Confirmed,44.347,23.20727704,Kepler-282,15.2,5602,1390.97,1.376054157
Kepler-283 b,Confirmed,11.008151,0.082,Kepler-283,10.81796395,4351,474.33,9.056817329
Kepler-283 c,Confirmed,92.743711,0.341,Kepler-283,10.81796395,4351,474.33,9.056817329
Kepler-284 b,Confirmed,12.699149,0.104,Kepler-284,10.81796395,5615,1062.79,45.46836528
Kepler-284 c,Confirmed,37.514456,0.213,Kepler-284,10.81796395,5615,1062.79,45.46836528
Kepler-285 b,Confirmed,2.633867,0.036,Kepler-285,10.81796395,5411,844.17,28.68628111
Kepler-285 c,Confirmed,6.186676,0.064,Kepler-285,10.81796395,5411,844.17,28.68628111
Kepler-286 b,Confirmed,1.796302,0.027,Kepler-286,10.81796395,5580,1266.68,64.58746636
Kepler-286 c,Confirmed,3.468095,0.042,Kepler-286,10.81796395,5580,1266.68,64.58746636
Kepler-286 d,Confirmed,5.914323,0.061,Kepler-286,10.81796395,5580,1266.68,64.58746636
Kepler-286 e,Confirmed,29.221289,0.176,Kepler-286,10.81796395,5580,1266.68,64.58746636
Kepler-287 b,Confirmed,20.342199,0.145,Kepler-287,10.81796395,5806,856.33,29.51866685
Kepler-287 c,Confirmed,44.851896,0.246,Kepler-287,10.81796395,5806,856.33,29.51866685
Kepler-288 b,Confirmed,6.097326,0.065,Kepler-288,10.81796395,5918,1236.21,61.51753519
Kepler-288 c,Confirmed,19.305772,0.14,Kepler-288,10.81796395,5918,1236.21,61.51753519
Kepler-288 d,Confirmed,56.633742,0.287,Kepler-288,10.81796395,5918,1236.21,61.51753519
Kepler-289 b,Confirmed,34.545,0.21,Kepler-289,12.9,5990,700,2.898652007
Kepler-289 c,Confirmed,125.8518,0.51,Kepler-289,12.9,5990,700,2.898652007
Kepler-289 d,Confirmed,66.0634,0.33,Kepler-289,12.9,5990,700,2.898652007
Kepler-28 b,Confirmed,5.9123,0.062,Kepler-28,15.5,4590,443.92,0.106318643
Kepler-28 c,Confirmed,8.9858,0.081,Kepler-28,15.5,4590,443.92,0.106318643
Kepler-290 b,Confirmed,14.589347,0.11,Kepler-290,10.81796395,5147,708.55,20.20949337
Kepler-290 c,Confirmed,36.77031,0.205,Kepler-290,10.81796395,5147,708.55,20.20949337
Kepler-291 b,Confirmed,3.546511,0.047,Kepler-291,10.81796395,6002,1884.37,142.9376983
Kepler-291 c,Confirmed,5.700786,0.065,Kepler-291,10.81796395,6002,1884.37,142.9376983
Kepler-292 b,Confirmed,2.580827,0.035,Kepler-292,10.81796395,5299,1087.23,47.58359784
Kepler-292 c,Confirmed,3.715335,0.045,Kepler-292,10.81796395,5299,1087.23,47.58359784
Kepler-292 d,Confirmed,7.055679,0.068,Kepler-292,10.81796395,5299,1087.23,47.58359784
Kepler-292 e,Confirmed,11.97901,0.097,Kepler-292,10.81796395,5299,1087.23,47.58359784
Kepler-292 f,Confirmed,20.834237,0.141,Kepler-292,10.81796395,5299,1087.23,47.58359784
Kepler-293 b,Confirmed,19.254196,0.144,Kepler-293,10.81796395,5804,1002.51,40.45682979
Kepler-293 c,Confirmed,54.155743,0.286,Kepler-293,10.81796395,5804,1002.51,40.45682979
Kepler-294 b,Confirmed,3.701212,0.048,Kepler-294,10.81796395,5913,1411.62,80.21397297
Kepler-294 c,Confirmed,6.6264,0.071,Kepler-294,10.81796395,5913,1411.62,80.21397297
Kepler-295 b,Confirmed,12.645164,0.099,Kepler-295,10.81796395,5603,1787.33,128.5949493
Kepler-295 c,Confirmed,21.526258,0.142,Kepler-295,10.81796395,5603,1787.33,128.5949493
Kepler-295 d,Confirmed,33.884054,0.192,Kepler-295,10.81796395,5603,1787.33,128.5949493
