planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity
Kepler-112 c,Confirmed,28.574263,0.172,Kepler-112,10.81796395,5544,520.9,10.92252724
Kepler-1130 Ab,Confirmed,5.45298175,0.0596,Kepler-1130 A,12.611,5327,249.343,0.479948193
Kepler-1130 Ac,Confirmed,3.266612036,0.04235,Kepler-1130 A,12.611,5327,249.343,0.479948193
Kepler-1130 Ad,Confirmed,4.27225316,0.05065,Kepler-1130 A,12.611,5327,249.343,0.479948193
Kepler-113 b,Confirmed,4.754,23.20727704,Kepler-113,13.461,4725,264.35,0.246580444
Kepler-113 c,Confirmed,8.92507,23.20727704,Kepler-113,13.461,4725,264.35,0.246580444
Kepler-1143 b,Confirmed,2.88890485,23.20727704,Kepler-1143,10.81796395,5053,632,16.07861285
Kepler-1143 c,Confirmed,210.630591,23.20727704,Kepler-1143,10.81796395,5053,632,16.07861285
Kepler-114 b,Confirmed,5.188549,0.053,Kepler-114,13.7,4605,261.49,0.193602147
Kepler-114 c,Confirmed,8.041,0.07,Kepler-114,13.7,4605,261.49,0.193602147
Kepler-114 d,Confirmed,11.776,0.09,Kepler-114,13.7,4605,261.49,0.193602147
Kepler-1154 b,Confirmed,5.1856142,23.20727704,Kepler-1154,10.81796395,6327,1531,94.3549748
Kepler-1154 c,Confirmed,8.45808312,23.20727704,Kepler-1154,10.81796395,6327,1531,94.3549748
Kepler-115 b,Confirmed,2.403679,0.036,Kepler-115,10.81796395,5979,634.97,16.23008654
Kepler-115 c,Confirmed,8.990889,0.087,Kepler-115,10.81796395,5979,634.97,16.23008654
Kepler-1165 b,Confirmed,9.478522,23.20727704,Kepler-1165,14.521,6019,1575.2,3.298157615
Kepler-1165 c,Confirmed,29.96870041,0.1969,Kepler-1165,14.521,6019,1575.2,3.298157615
Kepler-116 b,Confirmed,5.968734,0.069,Kepler-116,10.81796395,6142,982.04,38.82154157
Kepler-116 c,Confirmed,13.07163,0.116,Kepler-116,10.81796395,6142,982.04,38.82154157
Kepler-117 b,Confirmed,18.7959228,0.1445,Kepler-117,10.81796395,6150,1430,82.31642419
Kepler-117 c,Confirmed,50.790391,0.2804,Kepler-117,10.81796395,6150,1430,82.31642419
Kepler-118 b,Confirmed,7.518496,0.073,Kepler-118,10.81796395,5274,583.81,13.72010645
Kepler-118 c,Confirmed,20.17202,0.141,Kepler-118,10.81796395,5274,583.81,13.72010645
Kepler-119 b,Confirmed,2.422082,0.035,Kepler-119,10.81796395,5595,716.23,20.64997059
Kepler-119 c,Confirmed,4.125103,0.049,Kepler-119,10.81796395,5595,716.23,20.64997059
Kepler-11 b,Confirmed,10.3039,0.091,Kepler-11,13.7,5663,658.59,1.228090196
Kepler-11 c,Confirmed,13.0241,0.107,Kepler-11,13.7,5663,658.59,1.228090196
Kepler-11 d,Confirmed,22.6845,0.155,Kepler-11,13.7,5663,658.59,1.228090196
Kepler-11 e,Confirmed,31.9996,0.195,Kepler-11,13.7,5663,658.59,1.228090196
Kepler-11 f,Confirmed,46.6888,0.25,Kepler-11,13.7,5663,658.59,1.228090196
Kepler-11 g,Confirmed,118.3807,0.466,Kepler-11,13.7,5663,658.59,1.228090196
Kepler-120 b,Confirmed,6.312501,0.055,Kepler-120,10.81796395,4096,393.02,6.217899871
Kepler-120 c,Confirmed,12.794585,0.088,Kepler-120,10.81796395,4096,393.02,6.217899871
Kepler-121 b,Confirmed,3.177422,0.039,Kepler-121,10.81796395,5311,518.09,10.80500174
Kepler-121 c,Confirmed,41.008011,0.216,Kepler-121,10.81796395,5311,518.09,10.80500174
Kepler-122 b,Confirmed,5.766193,0.064,Kepler-122,10.81796395,6050,1058.58,45.10885366
Kepler-122 c,Confirmed,12.465988,0.108,Kepler-122,10.81796395,6050,1058.58,45.10885366
Kepler-122 d,Confirmed,21.587475,0.155,Kepler-122,10.81796395,6050,1058.58,45.10885366
Kepler-122 e,Confirmed,37.993273,0.227,Kepler-122,10.81796395,6050,1058.58,45.10885366
Kepler-122 f,Confirmed,56.268,23.20727704,Kepler-122,10.81796395,6050,1058.58,45.10885366
Kepler-123 b,Confirmed,17.232366,0.135,Kepler-123,10.81796395,6089,1052.14,44.56167278
Kepler-123 c,Confirmed,26.695074,0.181,Kepler-123,10.81796395,6089,1052.14,44.56167278
Kepler-1245 b,Confirmed,4.35409304,23.20727704,Kepler-1245,10.81796395,5306,861,29.84150516
Kepler-1245 c,Confirmed,2.93658468,23.20727704,Kepler-1245,10.81796395,5306,861,29.84150516
Kepler-124 b,Confirmed,3.410493,0.039,Kepler-124,10.81796395,4984,425.19,7.277471365
Kepler-124 c,Confirmed,13.821375,0.1,Kepler-124,10.81796395,4984,425.19,7.277471365
Kepler-124 d,Confirmed,30.950851,0.17,Kepler-124,10.81796395,4984,425.19,7.277471365
Kepler-1254 b,Confirmed,9.99113313,23.20727704,Kepler-1254,10.81796395,4985,676,18.39533975
Kepler-1254 c,Confirmed,3.60084276,23.20727704,Kepler-1254,10.81796395,4985,676,18.39533975
Kepler-1254 d,Confirmed,5.72717226,23.20727704,Kepler-1254,10.81796395,4985,676,18.39533975
Kepler-125 b,Confirmed,4.164389,0.041,Kepler-125,10.81796395,3810,184.34,1.367897601
